Distributor_ID,Distributor_Name,Region,State,City,Primary_Channel,Credit_Terms_Days,Active
DIST-SO-0046,Kochi FMCG Distributors Pvt Ltd,South,Kerala,Kochi,Modern Trade,30,Yes
DIST-SO-0047,Thiruvananthapuram FMCG Distributors Pvt Ltd,South,Kerala,Thiruvananthapuram,Modern Trade,30,Yes
DIST-EA-0048,Kolkata FMCG Distributors Pvt Ltd,East,West Bengal,Kolkata,Modern Trade,30,Yes
DIST-EA-0049,Siliguri FMCG Distributors Pvt Ltd,East,West Bengal,Siliguri,Modern Trade,30,Yes
DIST-EA-0050,Bhubaneswar FMCG Distributors Pvt Ltd,East,Odisha,Bhubaneswar,Modern Trade,30,Yes
DIST-EA-0051,Cuttack FMCG Distributors Pvt Ltd,East,Odisha,Cuttack,Modern Trade,30,Yes
DIST-EA-0052,Patna FMCG Distributors Pvt Ltd,East,Bihar,Patna,Modern Trade,30,Yes
DIST-EA-0053,Gaya FMCG Distributors Pvt Ltd,East,Bihar,Gaya,Modern Trade,30,Yes
DIST-WE-0054,Mumbai FMCG Distributors Pvt Ltd,West,Maharashtra,Mumbai,Modern Trade,30,Yes
DIST-WE-0055,Pune FMCG Distributors Pvt Ltd,West,Maharashtra,Pune,Modern Trade,30,Yes
DIST-WE-0056,Nagpur FMCG Distributors Pvt Ltd,West,Maharashtra,Nagpur,Modern Trade,30,Yes
DIST-WE-0057,Ahmedabad FMCG Distributors Pvt Ltd,West,Gujarat,Ahmedabad,Modern Trade,30,Yes
DIST-WE-0058,Surat FMCG Distributors Pvt Ltd,West,Gujarat,Surat,Modern Trade,30,Yes
DIST-WE-0059,Panaji FMCG Distributors Pvt Ltd,West,Goa,Panaji,Modern Trade,30,Yes
DIST-WE-0060,Margao FMCG Distributors Pvt Ltd,West,Goa,Margao,Modern Trade,30,Yes
DIST-CE-0061,Bhopal FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Bhopal,Modern Trade,30,Yes
DIST-CE-0062,Indore FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Indore,Modern Trade,30,Yes
DIST-CE-0063,Raipur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Raipur,Modern Trade,30,Yes
DIST-CE-0064,Bilaspur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Bilaspur,Modern Trade,30,Yes
DIST-CE-0065,Jaipur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jaipur,Modern Trade,30,Yes
DIST-CE-0066,Jodhpur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jodhpur,Modern Trade,30,Yes
DIST-NO-0067,New Delhi FMCG Distributors Pvt Ltd,North,Delhi,New Delhi,Modern Trade,30,Yes
DIST-NO-0068,Noida FMCG Distributors Pvt Ltd,North,Delhi,Noida,Modern Trade,30,Yes
DIST-NO-0069,Gurugram FMCG Distributors Pvt Ltd,North,Delhi,Gurugram,Modern Trade,30,Yes
DIST-NO-0070,Ludhiana FMCG Distributors Pvt Ltd,North,Punjab,Ludhiana,Modern Trade,30,Yes
DIST-NO-0071,Amritsar FMCG Distributors Pvt Ltd,North,Punjab,Amritsar,Modern Trade,30,Yes
DIST-NO-0072,Faridabad FMCG Distributors Pvt Ltd,North,Haryana,Faridabad,Modern Trade,30,Yes
DIST-NO-0073,Panipat FMCG Distributors Pvt Ltd,North,Haryana,Panipat,Modern Trade,30,Yes
DIST-SO-0074,Chennai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Chennai,Modern Trade,30,Yes
DIST-SO-0075,Coimbatore FMCG Distributors Pvt Ltd,South,Tamil Nadu,Coimbatore,Modern Trade,30,Yes
DIST-SO-0076,Madurai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Madurai,Modern Trade,30,Yes
DIST-SO-0077,Bengaluru FMCG Distributors Pvt Ltd,South,Karnataka,Bengaluru,Modern Trade,30,Yes
DIST-SO-0078,Mysuru FMCG Distributors Pvt Ltd,South,Karnataka,Mysuru,Modern Trade,30,Yes
DIST-SO-0079,Kochi FMCG Distributors Pvt Ltd,South,Kerala,Kochi,Modern Trade,30,Yes
DIST-SO-0080,Thiruvananthapuram FMCG Distributors Pvt Ltd,South,Kerala,Thiruvananthapuram,Modern Trade,30,Yes
DIST-EA-0081,Kolkata FMCG Distributors Pvt Ltd,East,West Bengal,Kolkata,Modern Trade,30,Yes
DIST-EA-0082,Siliguri FMCG Distributors Pvt Ltd,East,West Bengal,Siliguri,Modern Trade,30,Yes
DIST-EA-0083,Bhubaneswar FMCG Distributors Pvt Ltd,East,Odisha,Bhubaneswar,Modern Trade,30,Yes
DIST-EA-0084,Cuttack FMCG Distributors Pvt Ltd,East,Odisha,Cuttack,Modern Trade,30,Yes
DIST-EA-0085,Patna FMCG Distributors Pvt Ltd,East,Bihar,Patna,Modern Trade,30,Yes
DIST-EA-0086,Gaya FMCG Distributors Pvt Ltd,East,Bihar,Gaya,Modern Trade,30,Yes
DIST-WE-0087,Mumbai FMCG Distributors Pvt Ltd,West,Maharashtra,Mumbai,Modern Trade,30,Yes
DIST-WE-0088,Pune FMCG Distributors Pvt Ltd,West,Maharashtra,Pune,Modern Trade,30,Yes
DIST-WE-0089,Nagpur FMCG Distributors Pvt Ltd,West,Maharashtra,Nagpur,Modern Trade,30,Yes
DIST-WE-0090,Ahmedabad FMCG Distributors Pvt Ltd,West,Gujarat,Ahmedabad,Modern Trade,30,Yes
DIST-WE-0091,Surat FMCG Distributors Pvt Ltd,West,Gujarat,Surat,Modern Trade,30,Yes
DIST-WE-0092,Panaji FMCG Distributors Pvt Ltd,West,Goa,Panaji,Modern Trade,30,Yes
DIST-WE-0093,Margao FMCG Distributors Pvt Ltd,West,Goa,Margao,Modern Trade,30,Yes
DIST-CE-0094,Bhopal FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Bhopal,Modern Trade,30,Yes
DIST-CE-0095,Indore FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Indore,Modern Trade,30,Yes
DIST-CE-0096,Raipur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Raipur,Modern Trade,30,Yes
DIST-CE-0097,Bilaspur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Bilaspur,Modern Trade,30,Yes
DIST-CE-0098,Jaipur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jaipur,Modern Trade,30,Yes
DIST-CE-0099,Jodhpur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jodhpur,Modern Trade,30,Yes
DIST-NO-0100,New Delhi FMCG Distributors Pvt Ltd,North,Delhi,New Delhi,Modern Trade,30,Yes
DIST-NO-0101,Noida FMCG Distributors Pvt Ltd,North,Delhi,Noida,Modern Trade,30,Yes
DIST-NO-0102,Gurugram FMCG Distributors Pvt Ltd,North,Delhi,Gurugram,Modern Trade,30,Yes
DIST-NO-0103,Ludhiana FMCG Distributors Pvt Ltd,North,Punjab,Ludhiana,Modern Trade,30,Yes
DIST-NO-0104,Amritsar FMCG Distributors Pvt Ltd,North,Punjab,Amritsar,Modern Trade,30,Yes
DIST-NO-0105,Faridabad FMCG Distributors Pvt Ltd,North,Haryana,Faridabad,Modern Trade,30,Yes
DIST-NO-0106,Panipat FMCG Distributors Pvt Ltd,North,Haryana,Panipat,Modern Trade,30,Yes
DIST-SO-0107,Chennai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Chennai,Modern Trade,30,Yes
DIST-SO-0108,Coimbatore FMCG Distributors Pvt Ltd,South,Tamil Nadu,Coimbatore,Modern Trade,30,Yes
DIST-SO-0109,Madurai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Madurai,Modern Trade,30,Yes
DIST-SO-0110,Bengaluru FMCG Distributors Pvt Ltd,South,Karnataka,Bengaluru,Modern Trade,30,Yes
DIST-SO-0111,Mysuru FMCG Distributors Pvt Ltd,South,Karnataka,Mysuru,Modern Trade,30,Yes
DIST-SO-0112,Kochi FMCG Distributors Pvt Ltd,South,Kerala,Kochi,Modern Trade,30,Yes
DIST-SO-0113,Thiruvananthapuram FMCG Distributors Pvt Ltd,South,Kerala,Thiruvananthapuram,Modern Trade,30,Yes
DIST-EA-0114,Kolkata FMCG Distributors Pvt Ltd,East,West Bengal,Kolkata,Modern Trade,30,Yes
DIST-EA-0115,Siliguri FMCG Distributors Pvt Ltd,East,West Bengal,Siliguri,Modern Trade,30,Yes
DIST-EA-0116,Bhubaneswar FMCG Distributors Pvt Ltd,East,Odisha,Bhubaneswar,Modern Trade,30,Yes
DIST-EA-0117,Cuttack FMCG Distributors Pvt Ltd,East,Odisha,Cuttack,Modern Trade,30,Yes
DIST-EA-0118,Patna FMCG Distributors Pvt Ltd,East,Bihar,Patna,Modern Trade,30,Yes
DIST-EA-0119,Gaya FMCG Distributors Pvt Ltd,East,Bihar,Gaya,Modern Trade,30,Yes
DIST-WE-0120,Mumbai FMCG Distributors Pvt Ltd,West,Maharashtra,Mumbai,Modern Trade,30,Yes
DIST-WE-0121,Pune FMCG Distributors Pvt Ltd,West,Maharashtra,Pune,Modern Trade,30,Yes
DIST-WE-0122,Nagpur FMCG Distributors Pvt Ltd,West,Maharashtra,Nagpur,Modern Trade,30,Yes
DIST-WE-0123,Ahmedabad FMCG Distributors Pvt Ltd,West,Gujarat,Ahmedabad,Modern Trade,30,Yes
DIST-WE-0124,Surat FMCG Distributors Pvt Ltd,West,Gujarat,Surat,Modern Trade,30,Yes
DIST-WE-0125,Panaji FMCG Distributors Pvt Ltd,West,Goa,Panaji,Modern Trade,30,Yes
DIST-WE-0126,Margao FMCG Distributors Pvt Ltd,West,Goa,Margao,Modern Trade,30,Yes
DIST-CE-0127,Bhopal FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Bhopal,Modern Trade,30,Yes
DIST-CE-0128,Indore FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Indore,Modern Trade,30,Yes
DIST-CE-0129,Raipur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Raipur,Modern Trade,30,Yes
DIST-CE-0130,Bilaspur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Bilaspur,Modern Trade,30,Yes
DIST-CE-0131,Jaipur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jaipur,Modern Trade,30,Yes
DIST-CE-0132,Jodhpur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jodhpur,Modern Trade,30,Yes
DIST-NO-0133,New Delhi FMCG Distributors Pvt Ltd,North,Delhi,New Delhi,Modern Trade,30,Yes
DIST-NO-0134,Noida FMCG Distributors Pvt Ltd,North,Delhi,Noida,Modern Trade,30,Yes
DIST-NO-0135,Gurugram FMCG Distributors Pvt Ltd,North,Delhi,Gurugram,Modern Trade,30,Yes
DIST-NO-0136,Ludhiana FMCG Distributors Pvt Ltd,North,Punjab,Ludhiana,Modern Trade,30,Yes
DIST-NO-0137,Amritsar FMCG Distributors Pvt Ltd,North,Punjab,Amritsar,Modern Trade,30,Yes
DIST-NO-0138,Faridabad FMCG Distributors Pvt Ltd,North,Haryana,Faridabad,Modern Trade,30,Yes
DIST-NO-0139,Panipat FMCG Distributors Pvt Ltd,North,Haryana,Panipat,Modern Trade,30,Yes
DIST-SO-0140,Chennai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Chennai,Modern Trade,30,Yes
DIST-SO-0141,Coimbatore FMCG Distributors Pvt Ltd,South,Tamil Nadu,Coimbatore,Modern Trade,30,Yes
DIST-SO-0142,Madurai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Madurai,Modern Trade,30,Yes
DIST-SO-0143,Bengaluru FMCG Distributors Pvt Ltd,South,Karnataka,Bengaluru,Modern Trade,30,Yes
DIST-SO-0144,Mysuru FMCG Distributors Pvt Ltd,South,Karnataka,Mysuru,Modern Trade,30,Yes
DIST-SO-0145,Kochi FMCG Distributors Pvt Ltd,South,Kerala,Kochi,Modern Trade,30,Yes
DIST-SO-0146,Thiruvananthapuram FMCG Distributors Pvt Ltd,South,Kerala,Thiruvananthapuram,Modern Trade,30,Yes
DIST-EA-0147,Kolkata FMCG Distributors Pvt Ltd,East,West Bengal,Kolkata,Modern Trade,30,Yes
DIST-EA-0148,Siliguri FMCG Distributors Pvt Ltd,East,West Bengal,Siliguri,Modern Trade,30,Yes
DIST-EA-0149,Bhubaneswar FMCG Distributors Pvt Ltd,East,Odisha,Bhubaneswar,Modern Trade,30,Yes
DIST-EA-0150,Cuttack FMCG Distributors Pvt Ltd,East,Odisha,Cuttack,Modern Trade,30,Yes
DIST-EA-0151,Patna FMCG Distributors Pvt Ltd,East,Bihar,Patna,Modern Trade,30,Yes
DIST-EA-0152,Gaya FMCG Distributors Pvt Ltd,East,Bihar,Gaya,Modern Trade,30,Yes
DIST-WE-0153,Mumbai FMCG Distributors Pvt Ltd,West,Maharashtra,Mumbai,Modern Trade,30,Yes
DIST-WE-0154,Pune FMCG Distributors Pvt Ltd,West,Maharashtra,Pune,Modern Trade,30,Yes
DIST-WE-0155,Nagpur FMCG Distributors Pvt Ltd,West,Maharashtra,Nagpur,Modern Trade,30,Yes
DIST-WE-0156,Ahmedabad FMCG Distributors Pvt Ltd,West,Gujarat,Ahmedabad,Modern Trade,30,Yes
DIST-WE-0157,Surat FMCG Distributors Pvt Ltd,West,Gujarat,Surat,Modern Trade,30,Yes
DIST-WE-0158,Panaji FMCG Distributors Pvt Ltd,West,Goa,Panaji,Modern Trade,30,Yes
DIST-WE-0159,Margao FMCG Distributors Pvt Ltd,West,Goa,Margao,Modern Trade,30,Yes
DIST-CE-0160,Bhopal FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Bhopal,Modern Trade,30,Yes
DIST-CE-0161,Indore FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Indore,Modern Trade,30,Yes
DIST-CE-0162,Raipur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Raipur,Modern Trade,30,Yes
DIST-CE-0163,Bilaspur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Bilaspur,Modern Trade,30,Yes
DIST-CE-0164,Jaipur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jaipur,Modern Trade,30,Yes
DIST-CE-0165,Jodhpur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jodhpur,Modern Trade,30,Yes
DIST-NO-0166,New Delhi FMCG Distributors Pvt Ltd,North,Delhi,New Delhi,Modern Trade,30,Yes
DIST-NO-0167,Noida FMCG Distributors Pvt Ltd,North,Delhi,Noida,Modern Trade,30,Yes
DIST-NO-0168,Gurugram FMCG Distributors Pvt Ltd,North,Delhi,Gurugram,Modern Trade,30,Yes
DIST-NO-0169,Ludhiana FMCG Distributors Pvt Ltd,North,Punjab,Ludhiana,Modern Trade,30,Yes
DIST-NO-0170,Amritsar FMCG Distributors Pvt Ltd,North,Punjab,Amritsar,Modern Trade,30,Yes
DIST-NO-0171,Faridabad FMCG Distributors Pvt Ltd,North,Haryana,Faridabad,Modern Trade,30,Yes
DIST-NO-0172,Panipat FMCG Distributors Pvt Ltd,North,Haryana,Panipat,Modern Trade,30,Yes
DIST-SO-0173,Chennai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Chennai,Modern Trade,30,Yes
DIST-SO-0174,Coimbatore FMCG Distributors Pvt Ltd,South,Tamil Nadu,Coimbatore,Modern Trade,30,Yes
DIST-SO-0175,Madurai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Madurai,Modern Trade,30,Yes
DIST-SO-0176,Bengaluru FMCG Distributors Pvt Ltd,South,Karnataka,Bengaluru,Modern Trade,30,Yes
DIST-SO-0177,Mysuru FMCG Distributors Pvt Ltd,South,Karnataka,Mysuru,Modern Trade,30,Yes
DIST-SO-0178,Kochi FMCG Distributors Pvt Ltd,South,Kerala,Kochi,Modern Trade,30,Yes
DIST-SO-0179,Thiruvananthapuram FMCG Distributors Pvt Ltd,South,Kerala,Thiruvananthapuram,Modern Trade,30,Yes
DIST-EA-0180,Kolkata FMCG Distributors Pvt Ltd,East,West Bengal,Kolkata,Modern Trade,30,Yes
DIST-EA-0181,Siliguri FMCG Distributors Pvt Ltd,East,West Bengal,Siliguri,Modern Trade,30,Yes
DIST-EA-0182,Bhubaneswar FMCG Distributors Pvt Ltd,East,Odisha,Bhubaneswar,Modern Trade,30,Yes
DIST-EA-0183,Cuttack FMCG Distributors Pvt Ltd,East,Odisha,Cuttack,Modern Trade,30,Yes
DIST-EA-0184,Patna FMCG Distributors Pvt Ltd,East,Bihar,Patna,Modern Trade,30,Yes
DIST-EA-0185,Gaya FMCG Distributors Pvt Ltd,East,Bihar,Gaya,Modern Trade,30,Yes
DIST-WE-0186,Mumbai FMCG Distributors Pvt Ltd,West,Maharashtra,Mumbai,Modern Trade,30,Yes
DIST-WE-0187,Pune FMCG Distributors Pvt Ltd,West,Maharashtra,Pune,Modern Trade,30,Yes
DIST-WE-0188,Nagpur FMCG Distributors Pvt Ltd,West,Maharashtra,Nagpur,Modern Trade,30,Yes
DIST-WE-0189,Ahmedabad FMCG Distributors Pvt Ltd,West,Gujarat,Ahmedabad,Modern Trade,30,Yes
DIST-WE-0190,Surat FMCG Distributors Pvt Ltd,West,Gujarat,Surat,Modern Trade,30,Yes
DIST-WE-0191,Panaji FMCG Distributors Pvt Ltd,West,Goa,Panaji,Modern Trade,30,Yes
DIST-WE-0192,Margao FMCG Distributors Pvt Ltd,West,Goa,Margao,Modern Trade,30,Yes
DIST-CE-0193,Bhopal FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Bhopal,Modern Trade,30,Yes
DIST-CE-0194,Indore FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Indore,Modern Trade,30,Yes
DIST-CE-0195,Raipur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Raipur,Modern Trade,30,Yes
DIST-CE-0196,Bilaspur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Bilaspur,Modern Trade,30,Yes
DIST-CE-0197,Jaipur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jaipur,Modern Trade,30,Yes
DIST-CE-0198,Jodhpur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jodhpur,Modern Trade,30,Yes
DIST-NO-0199,New Delhi FMCG Distributors Pvt Ltd,North,Delhi,New Delhi,Modern Trade,30,Yes
DIST-NO-0200,Noida FMCG Distributors Pvt Ltd,North,Delhi,Noida,Modern Trade,30,Yes
DIST-NO-0201,Gurugram FMCG Distributors Pvt Ltd,North,Delhi,Gurugram,Modern Trade,30,Yes
DIST-NO-0202,Ludhiana FMCG Distributors Pvt Ltd,North,Punjab,Ludhiana,Modern Trade,30,Yes
DIST-NO-0203,Amritsar FMCG Distributors Pvt Ltd,North,Punjab,Amritsar,Modern Trade,30,Yes
DIST-NO-0204,Faridabad FMCG Distributors Pvt Ltd,North,Haryana,Faridabad,Modern Trade,30,Yes
DIST-NO-0205,Panipat FMCG Distributors Pvt Ltd,North,Haryana,Panipat,Modern Trade,30,Yes
DIST-SO-0206,Chennai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Chennai,Modern Trade,30,Yes
DIST-SO-0207,Coimbatore FMCG Distributors Pvt Ltd,South,Tamil Nadu,Coimbatore,Modern Trade,30,Yes
DIST-SO-0208,Madurai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Madurai,Modern Trade,30,Yes
DIST-SO-0209,Bengaluru FMCG Distributors Pvt Ltd,South,Karnataka,Bengaluru,Modern Trade,30,Yes
DIST-SO-0210,Mysuru FMCG Distributors Pvt Ltd,South,Karnataka,Mysuru,Modern Trade,30,Yes
DIST-SO-0211,Kochi FMCG Distributors Pvt Ltd,South,Kerala,Kochi,Modern Trade,30,Yes
DIST-SO-0212,Thiruvananthapuram FMCG Distributors Pvt Ltd,South,Kerala,Thiruvananthapuram,Modern Trade,30,Yes
DIST-EA-0213,Kolkata FMCG Distributors Pvt Ltd,East,West Bengal,Kolkata,Modern Trade,30,Yes
DIST-EA-0214,Siliguri FMCG Distributors Pvt Ltd,East,West Bengal,Siliguri,Modern Trade,30,Yes
DIST-EA-0215,Bhubaneswar FMCG Distributors Pvt Ltd,East,Odisha,Bhubaneswar,Modern Trade,30,Yes
DIST-EA-0216,Cuttack FMCG Distributors Pvt Ltd,East,Odisha,Cuttack,Modern Trade,30,Yes
DIST-EA-0217,Patna FMCG Distributors Pvt Ltd,East,Bihar,Patna,Modern Trade,30,Yes
DIST-EA-0218,Gaya FMCG Distributors Pvt Ltd,East,Bihar,Gaya,Modern Trade,30,Yes
DIST-WE-0219,Mumbai FMCG Distributors Pvt Ltd,West,Maharashtra,Mumbai,Modern Trade,30,Yes
DIST-WE-0220,Pune FMCG Distributors Pvt Ltd,West,Maharashtra,Pune,Modern Trade,30,Yes
DIST-WE-0221,Nagpur FMCG Distributors Pvt Ltd,West,Maharashtra,Nagpur,Modern Trade,30,Yes
DIST-WE-0222,Ahmedabad FMCG Distributors Pvt Ltd,West,Gujarat,Ahmedabad,Modern Trade,30,Yes
DIST-WE-0223,Surat FMCG Distributors Pvt Ltd,West,Gujarat,Surat,Modern Trade,30,Yes
DIST-WE-0224,Panaji FMCG Distributors Pvt Ltd,West,Goa,Panaji,Modern Trade,30,Yes
DIST-WE-0225,Margao FMCG Distributors Pvt Ltd,West,Goa,Margao,Modern Trade,30,Yes
DIST-CE-0226,Bhopal FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Bhopal,Modern Trade,30,Yes
DIST-CE-0227,Indore FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Indore,Modern Trade,30,Yes
DIST-CE-0228,Raipur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Raipur,Modern Trade,30,Yes
DIST-CE-0229,Bilaspur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Bilaspur,Modern Trade,30,Yes
DIST-CE-0230,Jaipur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jaipur,Modern Trade,30,Yes
DIST-CE-0231,Jodhpur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jodhpur,Modern Trade,30,Yes
DIST-NO-0232,New Delhi FMCG Distributors Pvt Ltd,North,Delhi,New Delhi,Modern Trade,30,Yes
DIST-NO-0233,Noida FMCG Distributors Pvt Ltd,North,Delhi,Noida,Modern Trade,30,Yes
DIST-NO-0234,Gurugram FMCG Distributors Pvt Ltd,North,Delhi,Gurugram,Modern Trade,30,Yes
