Account,Account_Type,Region,Product_Category,Channel,Month,Version,Amount
Marketing,EXP,Central,Beverages,E-Commerce,2026-03,Actual,351084
Distribution,EXP,Central,Beverages,E-Commerce,2026-03,Actual,263313
Salary,EXP,Central,Beverages,E-Commerce,2026-03,Actual,497369
Freight,EXP,Central,Beverages,E-Commerce,2026-03,Actual,146285
Other_Opex,EXP,Central,Beverages,E-Commerce,2026-03,Actual,204799
Gross_Sales,INC,Central,Beverages,General Trade,2025-04,Actual,4905267
COGS,EXP,Central,Beverages,General Trade,2025-04,Actual,2060212
Marketing,EXP,Central,Beverages,General Trade,2025-04,Actual,294316
Distribution,EXP,Central,Beverages,General Trade,2025-04,Actual,220737
Salary,EXP,Central,Beverages,General Trade,2025-04,Actual,416948
Freight,EXP,Central,Beverages,General Trade,2025-04,Actual,122632
Other_Opex,EXP,Central,Beverages,General Trade,2025-04,Actual,171684
Gross_Sales,INC,Central,Beverages,General Trade,2025-05,Actual,5150535
COGS,EXP,Central,Beverages,General Trade,2025-05,Actual,2163225
Marketing,EXP,Central,Beverages,General Trade,2025-05,Actual,309032
Distribution,EXP,Central,Beverages,General Trade,2025-05,Actual,231774
Salary,EXP,Central,Beverages,General Trade,2025-05,Actual,437795
Freight,EXP,Central,Beverages,General Trade,2025-05,Actual,128763
Other_Opex,EXP,Central,Beverages,General Trade,2025-05,Actual,180269
Gross_Sales,INC,Central,Beverages,General Trade,2025-06,Actual,4120431
COGS,EXP,Central,Beverages,General Trade,2025-06,Actual,1730581
Marketing,EXP,Central,Beverages,General Trade,2025-06,Actual,247226
Distribution,EXP,Central,Beverages,General Trade,2025-06,Actual,185419
Salary,EXP,Central,Beverages,General Trade,2025-06,Actual,350237
Freight,EXP,Central,Beverages,General Trade,2025-06,Actual,103011
Other_Opex,EXP,Central,Beverages,General Trade,2025-06,Actual,144215
Gross_Sales,INC,Central,Beverages,General Trade,2025-07,Actual,3973263
COGS,EXP,Central,Beverages,General Trade,2025-07,Actual,1668770
Marketing,EXP,Central,Beverages,General Trade,2025-07,Actual,238396
Distribution,EXP,Central,Beverages,General Trade,2025-07,Actual,178797
Salary,EXP,Central,Beverages,General Trade,2025-07,Actual,337727
Freight,EXP,Central,Beverages,General Trade,2025-07,Actual,99332
Other_Opex,EXP,Central,Beverages,General Trade,2025-07,Actual,139064
Gross_Sales,INC,Central,Beverages,General Trade,2025-08,Actual,4267584
COGS,EXP,Central,Beverages,General Trade,2025-08,Actual,1792385
Marketing,EXP,Central,Beverages,General Trade,2025-08,Actual,256055
Distribution,EXP,Central,Beverages,General Trade,2025-08,Actual,192041
Salary,EXP,Central,Beverages,General Trade,2025-08,Actual,362745
Freight,EXP,Central,Beverages,General Trade,2025-08,Actual,106690
Other_Opex,EXP,Central,Beverages,General Trade,2025-08,Actual,149365
Gross_Sales,INC,Central,Beverages,General Trade,2025-09,Actual,4660002
COGS,EXP,Central,Beverages,General Trade,2025-09,Actual,1957201
Marketing,EXP,Central,Beverages,General Trade,2025-09,Actual,279600
Distribution,EXP,Central,Beverages,General Trade,2025-09,Actual,209700
Salary,EXP,Central,Beverages,General Trade,2025-09,Actual,396100
Freight,EXP,Central,Beverages,General Trade,2025-09,Actual,116500
Other_Opex,EXP,Central,Beverages,General Trade,2025-09,Actual,163100
Gross_Sales,INC,Central,Beverages,General Trade,2025-10,Actual,5587149
COGS,EXP,Central,Beverages,General Trade,2025-10,Actual,2346603
Marketing,EXP,Central,Beverages,General Trade,2025-10,Actual,335229
Distribution,EXP,Central,Beverages,General Trade,2025-10,Actual,251422
Salary,EXP,Central,Beverages,General Trade,2025-10,Actual,474908
Freight,EXP,Central,Beverages,General Trade,2025-10,Actual,139679
Other_Opex,EXP,Central,Beverages,General Trade,2025-10,Actual,195550
Gross_Sales,INC,Central,Beverages,General Trade,2025-11,Actual,6603000
COGS,EXP,Central,Beverages,General Trade,2025-11,Actual,2773260
Marketing,EXP,Central,Beverages,General Trade,2025-11,Actual,396180
Distribution,EXP,Central,Beverages,General Trade,2025-11,Actual,297135
Salary,EXP,Central,Beverages,General Trade,2025-11,Actual,561255
Freight,EXP,Central,Beverages,General Trade,2025-11,Actual,165075
Other_Opex,EXP,Central,Beverages,General Trade,2025-11,Actual,231105
Gross_Sales,INC,Central,Beverages,General Trade,2025-12,Actual,5493897
COGS,EXP,Central,Beverages,General Trade,2025-12,Actual,2307437
Marketing,EXP,Central,Beverages,General Trade,2025-12,Actual,329634
Distribution,EXP,Central,Beverages,General Trade,2025-12,Actual,247225
Salary,EXP,Central,Beverages,General Trade,2025-12,Actual,466981
Freight,EXP,Central,Beverages,General Trade,2025-12,Actual,137347
Other_Opex,EXP,Central,Beverages,General Trade,2025-12,Actual,192286
Gross_Sales,INC,Central,Beverages,General Trade,2026-01,Actual,4758114
COGS,EXP,Central,Beverages,General Trade,2026-01,Actual,1998408
Marketing,EXP,Central,Beverages,General Trade,2026-01,Actual,285487
Distribution,EXP,Central,Beverages,General Trade,2026-01,Actual,214115
Salary,EXP,Central,Beverages,General Trade,2026-01,Actual,404440
Freight,EXP,Central,Beverages,General Trade,2026-01,Actual,118953
Other_Opex,EXP,Central,Beverages,General Trade,2026-01,Actual,166534
Gross_Sales,INC,Central,Beverages,General Trade,2026-02,Actual,5052429
COGS,EXP,Central,Beverages,General Trade,2026-02,Actual,2122020
Marketing,EXP,Central,Beverages,General Trade,2026-02,Actual,303146
Distribution,EXP,Central,Beverages,General Trade,2026-02,Actual,227359
Salary,EXP,Central,Beverages,General Trade,2026-02,Actual,429456
Freight,EXP,Central,Beverages,General Trade,2026-02,Actual,126311
Other_Opex,EXP,Central,Beverages,General Trade,2026-02,Actual,176835
Gross_Sales,INC,Central,Beverages,General Trade,2026-03,Actual,5297685
COGS,EXP,Central,Beverages,General Trade,2026-03,Actual,2225028
Marketing,EXP,Central,Beverages,General Trade,2026-03,Actual,317861
Distribution,EXP,Central,Beverages,General Trade,2026-03,Actual,238396
Salary,EXP,Central,Beverages,General Trade,2026-03,Actual,450303
Freight,EXP,Central,Beverages,General Trade,2026-03,Actual,132442
Other_Opex,EXP,Central,Beverages,General Trade,2026-03,Actual,185419
Gross_Sales,INC,Central,Beverages,Modern Trade,2025-04,Actual,5592009
COGS,EXP,Central,Beverages,Modern Trade,2025-04,Actual,2348644
Marketing,EXP,Central,Beverages,Modern Trade,2025-04,Actual,335521
Distribution,EXP,Central,Beverages,Modern Trade,2025-04,Actual,251640
Salary,EXP,Central,Beverages,Modern Trade,2025-04,Actual,475321
Freight,EXP,Central,Beverages,Modern Trade,2025-04,Actual,139800
Other_Opex,EXP,Central,Beverages,Modern Trade,2025-04,Actual,195720
Gross_Sales,INC,Central,Beverages,Modern Trade,2025-05,Actual,5871606
COGS,EXP,Central,Beverages,Modern Trade,2025-05,Actual,2466075
Marketing,EXP,Central,Beverages,Modern Trade,2025-05,Actual,352296
Distribution,EXP,Central,Beverages,Modern Trade,2025-05,Actual,264222
Salary,EXP,Central,Beverages,Modern Trade,2025-05,Actual,499087
Freight,EXP,Central,Beverages,Modern Trade,2025-05,Actual,146790
Other_Opex,EXP,Central,Beverages,Modern Trade,2025-05,Actual,205506
Gross_Sales,INC,Central,Beverages,Modern Trade,2025-06,Actual,4697289
COGS,EXP,Central,Beverages,Modern Trade,2025-06,Actual,1972861
Marketing,EXP,Central,Beverages,Modern Trade,2025-06,Actual,281837
Distribution,EXP,Central,Beverages,Modern Trade,2025-06,Actual,211378
Salary,EXP,Central,Beverages,Modern Trade,2025-06,Actual,399270
Freight,EXP,Central,Beverages,Modern Trade,2025-06,Actual,117432
Other_Opex,EXP,Central,Beverages,Modern Trade,2025-06,Actual,164405
Gross_Sales,INC,Central,Beverages,Modern Trade,2025-07,Actual,4529526
COGS,EXP,Central,Beverages,Modern Trade,2025-07,Actual,1902401
Marketing,EXP,Central,Beverages,Modern Trade,2025-07,Actual,271772
Distribution,EXP,Central,Beverages,Modern Trade,2025-07,Actual,203829
Salary,EXP,Central,Beverages,Modern Trade,2025-07,Actual,385010
Freight,EXP,Central,Beverages,Modern Trade,2025-07,Actual,113238
Other_Opex,EXP,Central,Beverages,Modern Trade,2025-07,Actual,158533
Gross_Sales,INC,Central,Beverages,Modern Trade,2025-08,Actual,4865049
COGS,EXP,Central,Beverages,Modern Trade,2025-08,Actual,2043321
Marketing,EXP,Central,Beverages,Modern Trade,2025-08,Actual,291903
Distribution,EXP,Central,Beverages,Modern Trade,2025-08,Actual,218927
Salary,EXP,Central,Beverages,Modern Trade,2025-08,Actual,413529
Freight,EXP,Central,Beverages,Modern Trade,2025-08,Actual,121626
Other_Opex,EXP,Central,Beverages,Modern Trade,2025-08,Actual,170277
Gross_Sales,INC,Central,Beverages,Modern Trade,2025-09,Actual,5312406
COGS,EXP,Central,Beverages,Modern Trade,2025-09,Actual,2231211
Marketing,EXP,Central,Beverages,Modern Trade,2025-09,Actual,318744
Distribution,EXP,Central,Beverages,Modern Trade,2025-09,Actual,239058
Salary,EXP,Central,Beverages,Modern Trade,2025-09,Actual,451555
Freight,EXP,Central,Beverages,Modern Trade,2025-09,Actual,132810
Other_Opex,EXP,Central,Beverages,Modern Trade,2025-09,Actual,185934
Gross_Sales,INC,Central,Beverages,Modern Trade,2025-10,Actual,6369360
COGS,EXP,Central,Beverages,Modern Trade,2025-10,Actual,2675131
Marketing,EXP,Central,Beverages,Modern Trade,2025-10,Actual,382162
Distribution,EXP,Central,Beverages,Modern Trade,2025-10,Actual,286621
Salary,EXP,Central,Beverages,Modern Trade,2025-10,Actual,541396
Freight,EXP,Central,Beverages,Modern Trade,2025-10,Actual,159234
Other_Opex,EXP,Central,Beverages,Modern Trade,2025-10,Actual,222928
Gross_Sales,INC,Central,Beverages,Modern Trade,2025-11,Actual,7527417
COGS,EXP,Central,Beverages,Modern Trade,2025-11,Actual,3161515
Marketing,EXP,Central,Beverages,Modern Trade,2025-11,Actual,451645
Distribution,EXP,Central,Beverages,Modern Trade,2025-11,Actual,338734
Salary,EXP,Central,Beverages,Modern Trade,2025-11,Actual,639830
Freight,EXP,Central,Beverages,Modern Trade,2025-11,Actual,188185
Other_Opex,EXP,Central,Beverages,Modern Trade,2025-11,Actual,263460
Gross_Sales,INC,Central,Beverages,Modern Trade,2025-12,Actual,6263049
COGS,EXP,Central,Beverages,Modern Trade,2025-12,Actual,2630481
Marketing,EXP,Central,Beverages,Modern Trade,2025-12,Actual,375783
Distribution,EXP,Central,Beverages,Modern Trade,2025-12,Actual,281837
Salary,EXP,Central,Beverages,Modern Trade,2025-12,Actual,532359
Freight,EXP,Central,Beverages,Modern Trade,2025-12,Actual,156576
Other_Opex,EXP,Central,Beverages,Modern Trade,2025-12,Actual,219207
Gross_Sales,INC,Central,Beverages,Modern Trade,2026-01,Actual,5424249
COGS,EXP,Central,Beverages,Modern Trade,2026-01,Actual,2278185
Marketing,EXP,Central,Beverages,Modern Trade,2026-01,Actual,325455
Distribution,EXP,Central,Beverages,Modern Trade,2026-01,Actual,244091
Salary,EXP,Central,Beverages,Modern Trade,2026-01,Actual,461061
Freight,EXP,Central,Beverages,Modern Trade,2026-01,Actual,135606
Other_Opex,EXP,Central,Beverages,Modern Trade,2026-01,Actual,189849
Gross_Sales,INC,Central,Beverages,Modern Trade,2026-02,Actual,5759772
COGS,EXP,Central,Beverages,Modern Trade,2026-02,Actual,2419104
Marketing,EXP,Central,Beverages,Modern Trade,2026-02,Actual,345586
Distribution,EXP,Central,Beverages,Modern Trade,2026-02,Actual,259190
Salary,EXP,Central,Beverages,Modern Trade,2026-02,Actual,489581
Freight,EXP,Central,Beverages,Modern Trade,2026-02,Actual,143994
Other_Opex,EXP,Central,Beverages,Modern Trade,2026-02,Actual,201592
Gross_Sales,INC,Central,Beverages,Modern Trade,2026-03,Actual,6039369
COGS,EXP,Central,Beverages,Modern Trade,2026-03,Actual,2536535
Marketing,EXP,Central,Beverages,Modern Trade,2026-03,Actual,362362
Distribution,EXP,Central,Beverages,Modern Trade,2026-03,Actual,271772
Salary,EXP,Central,Beverages,Modern Trade,2026-03,Actual,513346
Freight,EXP,Central,Beverages,Modern Trade,2026-03,Actual,150984
Other_Opex,EXP,Central,Beverages,Modern Trade,2026-03,Actual,211378
Gross_Sales,INC,Central,Beverages,Quick Commerce,2025-04,Actual,4765566
COGS,EXP,Central,Beverages,Quick Commerce,2025-04,Actual,2001538
Marketing,EXP,Central,Beverages,Quick Commerce,2025-04,Actual,285934
Distribution,EXP,Central,Beverages,Quick Commerce,2025-04,Actual,214450
Salary,EXP,Central,Beverages,Quick Commerce,2025-04,Actual,405073
Freight,EXP,Central,Beverages,Quick Commerce,2025-04,Actual,119139
Other_Opex,EXP,Central,Beverages,Quick Commerce,2025-04,Actual,166795
Gross_Sales,INC,Central,Beverages,Quick Commerce,2025-05,Actual,5070183
COGS,EXP,Central,Beverages,Quick Commerce,2025-05,Actual,2129477
Marketing,EXP,Central,Beverages,Quick Commerce,2025-05,Actual,304211
Distribution,EXP,Central,Beverages,Quick Commerce,2025-05,Actual,228158
Salary,EXP,Central,Beverages,Quick Commerce,2025-05,Actual,430966
Freight,EXP,Central,Beverages,Quick Commerce,2025-05,Actual,126755
Other_Opex,EXP,Central,Beverages,Quick Commerce,2025-05,Actual,177456
Gross_Sales,INC,Central,Beverages,Quick Commerce,2025-06,Actual,4109217
COGS,EXP,Central,Beverages,Quick Commerce,2025-06,Actual,1725871
Marketing,EXP,Central,Beverages,Quick Commerce,2025-06,Actual,246553
Distribution,EXP,Central,Beverages,Quick Commerce,2025-06,Actual,184915
Salary,EXP,Central,Beverages,Quick Commerce,2025-06,Actual,349283
Freight,EXP,Central,Beverages,Quick Commerce,2025-06,Actual,102730
Other_Opex,EXP,Central,Beverages,Quick Commerce,2025-06,Actual,143823
Gross_Sales,INC,Central,Beverages,Quick Commerce,2025-07,Actual,4013631
COGS,EXP,Central,Beverages,Quick Commerce,2025-07,Actual,1685725
Marketing,EXP,Central,Beverages,Quick Commerce,2025-07,Actual,240818
Distribution,EXP,Central,Beverages,Quick Commerce,2025-07,Actual,180613
Salary,EXP,Central,Beverages,Quick Commerce,2025-07,Actual,341159
Freight,EXP,Central,Beverages,Quick Commerce,2025-07,Actual,100341
Other_Opex,EXP,Central,Beverages,Quick Commerce,2025-07,Actual,140477
Gross_Sales,INC,Central,Beverages,Quick Commerce,2025-08,Actual,4365912
COGS,EXP,Central,Beverages,Quick Commerce,2025-08,Actual,1833683
Marketing,EXP,Central,Beverages,Quick Commerce,2025-08,Actual,261955
Distribution,EXP,Central,Beverages,Quick Commerce,2025-08,Actual,196466
Salary,EXP,Central,Beverages,Quick Commerce,2025-08,Actual,371103
Freight,EXP,Central,Beverages,Quick Commerce,2025-08,Actual,109148
Other_Opex,EXP,Central,Beverages,Quick Commerce,2025-08,Actual,152807
Gross_Sales,INC,Central,Beverages,Quick Commerce,2025-09,Actual,4827396
COGS,EXP,Central,Beverages,Quick Commerce,2025-09,Actual,2027506
Marketing,EXP,Central,Beverages,Quick Commerce,2025-09,Actual,289644
Distribution,EXP,Central,Beverages,Quick Commerce,2025-09,Actual,217233
Salary,EXP,Central,Beverages,Quick Commerce,2025-09,Actual,410329
Freight,EXP,Central,Beverages,Quick Commerce,2025-09,Actual,120685
Other_Opex,EXP,Central,Beverages,Quick Commerce,2025-09,Actual,168959
Gross_Sales,INC,Central,Beverages,Quick Commerce,2025-10,Actual,5859807
COGS,EXP,Central,Beverages,Quick Commerce,2025-10,Actual,2461119
Marketing,EXP,Central,Beverages,Quick Commerce,2025-10,Actual,351588
Distribution,EXP,Central,Beverages,Quick Commerce,2025-10,Actual,263691
Salary,EXP,Central,Beverages,Quick Commerce,2025-10,Actual,498084
Freight,EXP,Central,Beverages,Quick Commerce,2025-10,Actual,146495
Other_Opex,EXP,Central,Beverages,Quick Commerce,2025-10,Actual,205093
Gross_Sales,INC,Central,Beverages,Quick Commerce,2025-11,Actual,7010271
COGS,EXP,Central,Beverages,Quick Commerce,2025-11,Actual,2944314
Marketing,EXP,Central,Beverages,Quick Commerce,2025-11,Actual,420616
Distribution,EXP,Central,Beverages,Quick Commerce,2025-11,Actual,315462
Salary,EXP,Central,Beverages,Quick Commerce,2025-11,Actual,595873
Freight,EXP,Central,Beverages,Quick Commerce,2025-11,Actual,175257
Other_Opex,EXP,Central,Beverages,Quick Commerce,2025-11,Actual,245359
Gross_Sales,INC,Central,Beverages,Quick Commerce,2025-12,Actual,5054388
COGS,EXP,Central,Beverages,Quick Commerce,2025-12,Actual,2122843
Marketing,EXP,Central,Beverages,Quick Commerce,2025-12,Actual,303263
Distribution,EXP,Central,Beverages,Quick Commerce,2025-12,Actual,227447
Salary,EXP,Central,Beverages,Quick Commerce,2025-12,Actual,429623
Freight,EXP,Central,Beverages,Quick Commerce,2025-12,Actual,126360
Other_Opex,EXP,Central,Beverages,Quick Commerce,2025-12,Actual,176904
Gross_Sales,INC,Central,Beverages,Quick Commerce,2026-01,Actual,4438746
COGS,EXP,Central,Beverages,Quick Commerce,2026-01,Actual,1864273
Marketing,EXP,Central,Beverages,Quick Commerce,2026-01,Actual,266325
Distribution,EXP,Central,Beverages,Quick Commerce,2026-01,Actual,199744
Salary,EXP,Central,Beverages,Quick Commerce,2026-01,Actual,377293
Freight,EXP,Central,Beverages,Quick Commerce,2026-01,Actual,110969
Other_Opex,EXP,Central,Beverages,Quick Commerce,2026-01,Actual,155356
Gross_Sales,INC,Central,Beverages,Quick Commerce,2026-02,Actual,4778382
COGS,EXP,Central,Beverages,Quick Commerce,2026-02,Actual,2006920
Marketing,EXP,Central,Beverages,Quick Commerce,2026-02,Actual,286703
Distribution,EXP,Central,Beverages,Quick Commerce,2026-02,Actual,215027
Salary,EXP,Central,Beverages,Quick Commerce,2026-02,Actual,406162
Freight,EXP,Central,Beverages,Quick Commerce,2026-02,Actual,119460
Other_Opex,EXP,Central,Beverages,Quick Commerce,2026-02,Actual,167243
Gross_Sales,INC,Central,Beverages,Quick Commerce,2026-03,Actual,5078580
COGS,EXP,Central,Beverages,Quick Commerce,2026-03,Actual,2133004
Marketing,EXP,Central,Beverages,Quick Commerce,2026-03,Actual,304715
Distribution,EXP,Central,Beverages,Quick Commerce,2026-03,Actual,228536
Salary,EXP,Central,Beverages,Quick Commerce,2026-03,Actual,431679
Freight,EXP,Central,Beverages,Quick Commerce,2026-03,Actual,126964
Other_Opex,EXP,Central,Beverages,Quick Commerce,2026-03,Actual,177750
Gross_Sales,INC,Central,Personal Care,E-Commerce,2025-04,Actual,2819583
COGS,EXP,Central,Personal Care,E-Commerce,2025-04,Actual,1184225
Marketing,EXP,Central,Personal Care,E-Commerce,2025-04,Actual,169175
Distribution,EXP,Central,Personal Care,E-Commerce,2025-04,Actual,126881
Salary,EXP,Central,Personal Care,E-Commerce,2025-04,Actual,239665
Freight,EXP,Central,Personal Care,E-Commerce,2025-04,Actual,70490
Other_Opex,EXP,Central,Personal Care,E-Commerce,2025-04,Actual,98685
Gross_Sales,INC,Central,Personal Care,E-Commerce,2025-05,Actual,2999811
COGS,EXP,Central,Personal Care,E-Commerce,2025-05,Actual,1259921
Marketing,EXP,Central,Personal Care,E-Commerce,2025-05,Actual,179989
Distribution,EXP,Central,Personal Care,E-Commerce,2025-05,Actual,134991
Salary,EXP,Central,Personal Care,E-Commerce,2025-05,Actual,254984
Freight,EXP,Central,Personal Care,E-Commerce,2025-05,Actual,74995
Other_Opex,EXP,Central,Personal Care,E-Commerce,2025-05,Actual,104993
Gross_Sales,INC,Central,Personal Care,E-Commerce,2025-06,Actual,2625747
COGS,EXP,Central,Personal Care,E-Commerce,2025-06,Actual,1102814
Marketing,EXP,Central,Personal Care,E-Commerce,2025-06,Actual,157545
Distribution,EXP,Central,Personal Care,E-Commerce,2025-06,Actual,118159
Salary,EXP,Central,Personal Care,E-Commerce,2025-06,Actual,223188
Freight,EXP,Central,Personal Care,E-Commerce,2025-06,Actual,65644
Other_Opex,EXP,Central,Personal Care,E-Commerce,2025-06,Actual,91901
Gross_Sales,INC,Central,Personal Care,E-Commerce,2025-07,Actual,2374695
COGS,EXP,Central,Personal Care,E-Commerce,2025-07,Actual,997372
Marketing,EXP,Central,Personal Care,E-Commerce,2025-07,Actual,142482
Distribution,EXP,Central,Personal Care,E-Commerce,2025-07,Actual,106861
Salary,EXP,Central,Personal Care,E-Commerce,2025-07,Actual,201849
Freight,EXP,Central,Personal Care,E-Commerce,2025-07,Actual,59367
Other_Opex,EXP,Central,Personal Care,E-Commerce,2025-07,Actual,83114
Gross_Sales,INC,Central,Personal Care,E-Commerce,2025-08,Actual,2583120
COGS,EXP,Central,Personal Care,E-Commerce,2025-08,Actual,1084910
Marketing,EXP,Central,Personal Care,E-Commerce,2025-08,Actual,154987
Distribution,EXP,Central,Personal Care,E-Commerce,2025-08,Actual,116240
Salary,EXP,Central,Personal Care,E-Commerce,2025-08,Actual,219565
Freight,EXP,Central,Personal Care,E-Commerce,2025-08,Actual,64578
Other_Opex,EXP,Central,Personal Care,E-Commerce,2025-08,Actual,90409
Gross_Sales,INC,Central,Personal Care,E-Commerce,2025-09,Actual,2856162
COGS,EXP,Central,Personal Care,E-Commerce,2025-09,Actual,1199588
Marketing,EXP,Central,Personal Care,E-Commerce,2025-09,Actual,171370
Distribution,EXP,Central,Personal Care,E-Commerce,2025-09,Actual,128527
Salary,EXP,Central,Personal Care,E-Commerce,2025-09,Actual,242774
Freight,EXP,Central,Personal Care,E-Commerce,2025-09,Actual,71404
Other_Opex,EXP,Central,Personal Care,E-Commerce,2025-09,Actual,99966
Gross_Sales,INC,Central,Personal Care,E-Commerce,2025-10,Actual,3466992
COGS,EXP,Central,Personal Care,E-Commerce,2025-10,Actual,1456137
Marketing,EXP,Central,Personal Care,E-Commerce,2025-10,Actual,208020
Distribution,EXP,Central,Personal Care,E-Commerce,2025-10,Actual,156015
Salary,EXP,Central,Personal Care,E-Commerce,2025-10,Actual,294694
