Month,Region,Department,Cost_Center,Opening,Hires,Terminations,Closing,Salary_per_Employee,Benefits_per_Employee,Total_Salary_Cost,Total_Compensation
2025-07,North,Warehouse,RC-NO-WAR,60,1,0,61,29000,3480,1769000,1981280
2025-07,North,Admin,RC-NO-ADM,25,1,0,26,56000,6720,1456000,1630720
2025-07,North,Field_Marketing,RC-NO-FIE,20,1,0,21,38000,4560,798000,893760
2025-07,North,Customer_Support,RC-NO-CUS,16,1,0,17,32000,3840,544000,609280
2025-07,South,Sales,RC-SO-SAL,67,2,0,69,45000,5400,3105000,3477600
2025-07,South,Warehouse,RC-SO-WAR,74,1,0,75,29000,3480,2175000,2436000
2025-07,South,Admin,RC-SO-ADM,31,1,0,32,56000,6720,1792000,2007040
2025-07,South,Field_Marketing,RC-SO-FIE,26,1,0,27,38000,4560,1026000,1149120
2025-07,South,Customer_Support,RC-SO-CUS,22,1,0,23,32000,3840,736000,824320
2025-07,East,Sales,RC-EA-SAL,40,1,0,41,45000,5400,1845000,2066400
2025-07,East,Warehouse,RC-EA-WAR,50,1,0,51,29000,3480,1479000,1656480
2025-07,East,Admin,RC-EA-ADM,19,1,0,20,56000,6720,1120000,1254400
2025-07,East,Field_Marketing,RC-EA-FIE,16,1,0,17,38000,4560,646000,723520
2025-07,East,Customer_Support,RC-EA-CUS,14,1,0,15,32000,3840,480000,537600
2025-07,West,Sales,RC-WE-SAL,47,1,0,48,45000,5400,2160000,2419200
2025-07,West,Warehouse,RC-WE-WAR,56,1,0,57,29000,3480,1653000,1851360
2025-07,West,Admin,RC-WE-ADM,23,1,0,24,56000,6720,1344000,1505280
2025-07,West,Field_Marketing,RC-WE-FIE,19,1,0,20,38000,4560,760000,851200
2025-07,West,Customer_Support,RC-WE-CUS,17,1,0,18,32000,3840,576000,645120
2025-07,Central,Sales,RC-CE-SAL,34,1,0,35,45000,5400,1575000,1764000
2025-07,Central,Warehouse,RC-CE-WAR,44,1,0,45,29000,3480,1305000,1461600
2025-07,Central,Admin,RC-CE-ADM,17,1,0,18,56000,6720,1008000,1128960
2025-07,Central,Field_Marketing,RC-CE-FIE,13,1,0,14,38000,4560,532000,595840
2025-07,Central,Customer_Support,RC-CE-CUS,12,1,0,13,32000,3840,416000,465920
2025-08,North,Sales,RC-NO-SAL,51,1,0,52,45000,5400,2340000,2620800
2025-08,North,Warehouse,RC-NO-WAR,61,1,0,62,29000,3480,1798000,2013760
2025-08,North,Admin,RC-NO-ADM,26,1,0,27,56000,6720,1512000,1693440
2025-08,North,Field_Marketing,RC-NO-FIE,21,1,0,22,38000,4560,836000,936320
2025-08,North,Customer_Support,RC-NO-CUS,17,1,0,18,32000,3840,576000,645120
2025-08,South,Sales,RC-SO-SAL,69,2,0,71,45000,5400,3195000,3578400
2025-08,South,Warehouse,RC-SO-WAR,75,1,0,76,29000,3480,2204000,2468480
2025-08,South,Admin,RC-SO-ADM,32,1,0,33,56000,6720,1848000,2069760
2025-08,South,Field_Marketing,RC-SO-FIE,27,1,0,28,38000,4560,1064000,1191680
2025-08,South,Customer_Support,RC-SO-CUS,23,1,0,24,32000,3840,768000,860160
2025-08,East,Sales,RC-EA-SAL,41,1,0,42,45000,5400,1890000,2116800
2025-08,East,Warehouse,RC-EA-WAR,51,1,0,52,29000,3480,1508000,1688960
2025-08,East,Admin,RC-EA-ADM,20,1,0,21,56000,6720,1176000,1317120
2025-08,East,Field_Marketing,RC-EA-FIE,17,1,0,18,38000,4560,684000,766080
2025-08,East,Customer_Support,RC-EA-CUS,15,1,0,16,32000,3840,512000,573440
2025-08,West,Sales,RC-WE-SAL,48,1,0,49,45000,5400,2205000,2469600
2025-08,West,Warehouse,RC-WE-WAR,57,1,0,58,29000,3480,1682000,1883840
2025-08,West,Admin,RC-WE-ADM,24,1,0,25,56000,6720,1400000,1568000
2025-08,West,Field_Marketing,RC-WE-FIE,20,1,0,21,38000,4560,798000,893760
2025-08,West,Customer_Support,RC-WE-CUS,18,1,0,19,32000,3840,608000,680960
2025-08,Central,Sales,RC-CE-SAL,35,1,0,36,45000,5400,1620000,1814400
2025-08,Central,Warehouse,RC-CE-WAR,45,1,0,46,29000,3480,1334000,1494080
2025-08,Central,Admin,RC-CE-ADM,18,1,0,19,56000,6720,1064000,1191680
2025-08,Central,Field_Marketing,RC-CE-FIE,14,1,0,15,38000,4560,570000,638400
2025-08,Central,Customer_Support,RC-CE-CUS,13,1,0,14,32000,3840,448000,501760
2025-09,North,Sales,RC-NO-SAL,52,1,0,53,45000,5400,2385000,2671200
2025-09,North,Warehouse,RC-NO-WAR,62,1,0,63,29000,3480,1827000,2046240
2025-09,North,Admin,RC-NO-ADM,27,1,0,28,56000,6720,1568000,1756160
2025-09,North,Field_Marketing,RC-NO-FIE,22,1,0,23,38000,4560,874000,978880
2025-09,North,Customer_Support,RC-NO-CUS,18,1,0,19,32000,3840,608000,680960
2025-09,South,Sales,RC-SO-SAL,71,2,0,73,45000,5400,3285000,3679200
2025-09,South,Warehouse,RC-SO-WAR,76,1,0,77,29000,3480,2233000,2500960
2025-09,South,Admin,RC-SO-ADM,33,1,0,34,56000,6720,1904000,2132480
2025-09,South,Field_Marketing,RC-SO-FIE,28,1,0,29,38000,4560,1102000,1234240
2025-09,South,Customer_Support,RC-SO-CUS,24,1,0,25,32000,3840,800000,896000
2025-09,East,Sales,RC-EA-SAL,42,1,0,43,45000,5400,1935000,2167200
2025-09,East,Warehouse,RC-EA-WAR,52,1,0,53,29000,3480,1537000,1721440
2025-09,East,Admin,RC-EA-ADM,21,1,0,22,56000,6720,1232000,1379840
2025-09,East,Field_Marketing,RC-EA-FIE,18,1,0,19,38000,4560,722000,808640
2025-09,East,Customer_Support,RC-EA-CUS,16,1,0,17,32000,3840,544000,609280
2025-09,West,Sales,RC-WE-SAL,49,1,0,50,45000,5400,2250000,2520000
2025-09,West,Warehouse,RC-WE-WAR,58,1,0,59,29000,3480,1711000,1916320
2025-09,West,Admin,RC-WE-ADM,25,1,0,26,56000,6720,1456000,1630720
2025-09,West,Field_Marketing,RC-WE-FIE,21,1,0,22,38000,4560,836000,936320
2025-09,West,Customer_Support,RC-WE-CUS,19,1,0,20,32000,3840,640000,716800
2025-09,Central,Sales,RC-CE-SAL,36,1,0,37,45000,5400,1665000,1864800
2025-09,Central,Warehouse,RC-CE-WAR,46,1,0,47,29000,3480,1363000,1526560
2025-09,Central,Admin,RC-CE-ADM,19,1,0,20,56000,6720,1120000,1254400
2025-09,Central,Field_Marketing,RC-CE-FIE,15,1,0,16,38000,4560,608000,680960
2025-09,Central,Customer_Support,RC-CE-CUS,14,1,0,15,32000,3840,480000,537600
2025-10,North,Sales,RC-NO-SAL,53,1,0,54,45000,5400,2430000,2721600
2025-10,North,Warehouse,RC-NO-WAR,63,1,0,64,29000,3480,1856000,2078720
2025-10,North,Admin,RC-NO-ADM,28,1,0,29,56000,6720,1624000,1818880
2025-10,North,Field_Marketing,RC-NO-FIE,23,1,0,24,38000,4560,912000,1021440
2025-10,North,Customer_Support,RC-NO-CUS,19,1,0,20,32000,3840,640000,716800
2025-10,South,Sales,RC-SO-SAL,73,2,0,75,45000,5400,3375000,3780000
2025-10,South,Warehouse,RC-SO-WAR,77,1,0,78,29000,3480,2262000,2533440
2025-10,South,Admin,RC-SO-ADM,34,1,0,35,56000,6720,1960000,2195200
2025-10,South,Field_Marketing,RC-SO-FIE,29,1,0,30,38000,4560,1140000,1276800
2025-10,South,Customer_Support,RC-SO-CUS,25,1,0,26,32000,3840,832000,931840
2025-10,East,Sales,RC-EA-SAL,43,1,0,44,45000,5400,1980000,2217600
2025-10,East,Warehouse,RC-EA-WAR,53,1,0,54,29000,3480,1566000,1753920
2025-10,East,Admin,RC-EA-ADM,22,1,0,23,56000,6720,1288000,1442560
2025-10,East,Field_Marketing,RC-EA-FIE,19,1,0,20,38000,4560,760000,851200
2025-10,East,Customer_Support,RC-EA-CUS,17,1,0,18,32000,3840,576000,645120
2025-10,West,Sales,RC-WE-SAL,50,1,0,51,45000,5400,2295000,2570400
2025-10,West,Warehouse,RC-WE-WAR,59,1,0,60,29000,3480,1740000,1948800
2025-10,West,Admin,RC-WE-ADM,26,1,0,27,56000,6720,1512000,1693440
2025-10,West,Field_Marketing,RC-WE-FIE,22,1,0,23,38000,4560,874000,978880
2025-10,West,Customer_Support,RC-WE-CUS,20,1,0,21,32000,3840,672000,752640
2025-10,Central,Sales,RC-CE-SAL,37,1,0,38,45000,5400,1710000,1915200
2025-10,Central,Warehouse,RC-CE-WAR,47,1,0,48,29000,3480,1392000,1559040
2025-10,Central,Admin,RC-CE-ADM,20,1,0,21,56000,6720,1176000,1317120
2025-10,Central,Field_Marketing,RC-CE-FIE,16,1,0,17,38000,4560,646000,723520
2025-10,Central,Customer_Support,RC-CE-CUS,15,1,0,16,32000,3840,512000,573440
2025-11,North,Sales,RC-NO-SAL,54,1,0,55,45000,5400,2475000,2772000
2025-11,North,Warehouse,RC-NO-WAR,64,1,0,65,29000,3480,1885000,2111200
2025-11,North,Admin,RC-NO-ADM,29,1,0,30,56000,6720,1680000,1881600
2025-11,North,Field_Marketing,RC-NO-FIE,24,1,0,25,38000,4560,950000,1064000
2025-11,North,Customer_Support,RC-NO-CUS,20,1,0,21,32000,3840,672000,752640
2025-11,South,Sales,RC-SO-SAL,75,2,0,77,45000,5400,3465000,3880800
2025-11,South,Warehouse,RC-SO-WAR,78,1,0,79,29000,3480,2291000,2565920
2025-11,South,Admin,RC-SO-ADM,35,1,0,36,56000,6720,2016000,2257920
2025-11,South,Field_Marketing,RC-SO-FIE,30,1,0,31,38000,4560,1178000,1319360
2025-11,South,Customer_Support,RC-SO-CUS,26,1,0,27,32000,3840,864000,967680
2025-11,East,Sales,RC-EA-SAL,44,1,0,45,45000,5400,2025000,2268000
2025-11,East,Warehouse,RC-EA-WAR,54,1,0,55,29000,3480,1595000,1786400
2025-11,East,Admin,RC-EA-ADM,23,1,0,24,56000,6720,1344000,1505280
2025-11,East,Field_Marketing,RC-EA-FIE,20,1,0,21,38000,4560,798000,893760
2025-11,East,Customer_Support,RC-EA-CUS,18,1,0,19,32000,3840,608000,680960
2025-11,West,Sales,RC-WE-SAL,51,1,0,52,45000,5400,2340000,2620800
2025-11,West,Warehouse,RC-WE-WAR,60,1,0,61,29000,3480,1769000,1981280
2025-11,West,Admin,RC-WE-ADM,27,1,0,28,56000,6720,1568000,1756160
2025-11,West,Field_Marketing,RC-WE-FIE,23,1,0,24,38000,4560,912000,1021440
2025-11,West,Customer_Support,RC-WE-CUS,21,1,0,22,32000,3840,704000,788480
2025-11,Central,Sales,RC-CE-SAL,38,1,0,39,45000,5400,1755000,1965600
2025-11,Central,Warehouse,RC-CE-WAR,48,1,0,49,29000,3480,1421000,1591520
2025-11,Central,Admin,RC-CE-ADM,21,1,0,22,56000,6720,1232000,1379840
2025-11,Central,Field_Marketing,RC-CE-FIE,17,1,0,18,38000,4560,684000,766080
2025-11,Central,Customer_Support,RC-CE-CUS,16,1,0,17,32000,3840,544000,609280
2025-12,North,Sales,RC-NO-SAL,55,1,0,56,45000,5400,2520000,2822400
2025-12,North,Warehouse,RC-NO-WAR,65,1,0,66,29000,3480,1914000,2143680
2025-12,North,Admin,RC-NO-ADM,30,1,0,31,56000,6720,1736000,1944320
2025-12,North,Field_Marketing,RC-NO-FIE,25,1,0,26,38000,4560,988000,1106560
2025-12,North,Customer_Support,RC-NO-CUS,21,1,0,22,32000,3840,704000,788480
2025-12,South,Sales,RC-SO-SAL,77,2,0,79,45000,5400,3555000,3981600
2025-12,South,Warehouse,RC-SO-WAR,79,1,0,80,29000,3480,2320000,2598400
2025-12,South,Admin,RC-SO-ADM,36,1,0,37,56000,6720,2072000,2320640
2025-12,South,Field_Marketing,RC-SO-FIE,31,1,0,32,38000,4560,1216000,1361920
2025-12,South,Customer_Support,RC-SO-CUS,27,1,0,28,32000,3840,896000,1003520
2025-12,East,Sales,RC-EA-SAL,45,1,0,46,45000,5400,2070000,2318400
2025-12,East,Warehouse,RC-EA-WAR,55,1,0,56,29000,3480,1624000,1818880
2025-12,East,Admin,RC-EA-ADM,24,1,0,25,56000,6720,1400000,1568000
2025-12,East,Field_Marketing,RC-EA-FIE,21,1,0,22,38000,4560,836000,936320
2025-12,East,Customer_Support,RC-EA-CUS,19,1,0,20,32000,3840,640000,716800
2025-12,West,Sales,RC-WE-SAL,52,1,0,53,45000,5400,2385000,2671200
2025-12,West,Warehouse,RC-WE-WAR,61,1,0,62,29000,3480,1798000,2013760
2025-12,West,Admin,RC-WE-ADM,28,1,0,29,56000,6720,1624000,1818880
2025-12,West,Field_Marketing,RC-WE-FIE,24,1,0,25,38000,4560,950000,1064000
2025-12,West,Customer_Support,RC-WE-CUS,22,1,0,23,32000,3840,736000,824320
2025-12,Central,Sales,RC-CE-SAL,39,1,0,40,45000,5400,1800000,2016000
2025-12,Central,Warehouse,RC-CE-WAR,49,1,0,50,29000,3480,1450000,1624000
2025-12,Central,Admin,RC-CE-ADM,22,1,0,23,56000,6720,1288000,1442560
2025-12,Central,Field_Marketing,RC-CE-FIE,18,1,0,19,38000,4560,722000,808640
2025-12,Central,Customer_Support,RC-CE-CUS,17,1,0,18,32000,3840,576000,645120
2026-01,North,Sales,RC-NO-SAL,56,1,1,56,45000,5400,2520000,2822400
2026-01,North,Warehouse,RC-NO-WAR,66,1,1,66,29000,3480,1914000,2143680
2026-01,North,Admin,RC-NO-ADM,31,1,0,32,56000,6720,1792000,2007040
2026-01,North,Field_Marketing,RC-NO-FIE,26,1,1,26,38000,4560,988000,1106560
2026-01,North,Customer_Support,RC-NO-CUS,22,1,1,22,32000,3840,704000,788480
2026-01,South,Sales,RC-SO-SAL,79,2,1,80,45000,5400,3600000,4032000
2026-01,South,Warehouse,RC-SO-WAR,80,1,1,80,29000,3480,2320000,2598400
2026-01,South,Admin,RC-SO-ADM,37,1,0,38,56000,6720,2128000,2383360
2026-01,South,Field_Marketing,RC-SO-FIE,32,1,1,32,38000,4560,1216000,1361920
2026-01,South,Customer_Support,RC-SO-CUS,28,1,1,28,32000,3840,896000,1003520
2026-01,East,Sales,RC-EA-SAL,46,1,1,46,45000,5400,2070000,2318400
2026-01,East,Warehouse,RC-EA-WAR,56,1,1,56,29000,3480,1624000,1818880
2026-01,East,Admin,RC-EA-ADM,25,1,0,26,56000,6720,1456000,1630720
2026-01,East,Field_Marketing,RC-EA-FIE,22,1,1,22,38000,4560,836000,936320
2026-01,East,Customer_Support,RC-EA-CUS,20,1,1,20,32000,3840,640000,716800
2026-01,West,Sales,RC-WE-SAL,53,1,1,53,45000,5400,2385000,2671200
2026-01,West,Warehouse,RC-WE-WAR,62,1,1,62,29000,3480,1798000,2013760
2026-01,West,Admin,RC-WE-ADM,29,1,0,30,56000,6720,1680000,1881600
2026-01,West,Field_Marketing,RC-WE-FIE,25,1,1,25,38000,4560,950000,1064000
2026-01,West,Customer_Support,RC-WE-CUS,23,1,1,23,32000,3840,736000,824320
2026-01,Central,Sales,RC-CE-SAL,40,1,1,40,45000,5400,1800000,2016000
2026-01,Central,Warehouse,RC-CE-WAR,50,1,1,50,29000,3480,1450000,1624000
2026-01,Central,Admin,RC-CE-ADM,23,1,0,24,56000,6720,1344000,1505280
2026-01,Central,Field_Marketing,RC-CE-FIE,19,1,1,19,38000,4560,722000,808640
2026-01,Central,Customer_Support,RC-CE-CUS,18,1,1,18,32000,3840,576000,645120
2026-02,North,Sales,RC-NO-SAL,56,1,0,57,45000,5400,2565000,2872800
2026-02,North,Warehouse,RC-NO-WAR,66,1,0,67,29000,3480,1943000,2176160
2026-02,North,Admin,RC-NO-ADM,32,1,0,33,56000,6720,1848000,2069760
2026-02,North,Field_Marketing,RC-NO-FIE,26,1,0,27,38000,4560,1026000,1149120
2026-02,North,Customer_Support,RC-NO-CUS,22,1,0,23,32000,3840,736000,824320
2026-02,South,Sales,RC-SO-SAL,80,2,0,82,45000,5400,3690000,4132800
2026-02,South,Warehouse,RC-SO-WAR,80,1,0,81,29000,3480,2349000,2630880
2026-02,South,Admin,RC-SO-ADM,38,1,0,39,56000,6720,2184000,2446080
2026-02,South,Field_Marketing,RC-SO-FIE,32,1,0,33,38000,4560,1254000,1404480
2026-02,South,Customer_Support,RC-SO-CUS,28,1,0,29,32000,3840,928000,1039360
2026-02,East,Sales,RC-EA-SAL,46,1,0,47,45000,5400,2115000,2368800
2026-02,East,Warehouse,RC-EA-WAR,56,1,0,57,29000,3480,1653000,1851360
2026-02,East,Admin,RC-EA-ADM,26,1,0,27,56000,6720,1512000,1693440
2026-02,East,Field_Marketing,RC-EA-FIE,22,1,0,23,38000,4560,874000,978880
2026-02,East,Customer_Support,RC-EA-CUS,20,1,0,21,32000,3840,672000,752640
2026-02,West,Sales,RC-WE-SAL,53,1,0,54,45000,5400,2430000,2721600
2026-02,West,Warehouse,RC-WE-WAR,62,1,0,63,29000,3480,1827000,2046240
2026-02,West,Admin,RC-WE-ADM,30,1,0,31,56000,6720,1736000,1944320
2026-02,West,Field_Marketing,RC-WE-FIE,25,1,0,26,38000,4560,988000,1106560
2026-02,West,Customer_Support,RC-WE-CUS,23,1,0,24,32000,3840,768000,860160
2026-02,Central,Sales,RC-CE-SAL,40,1,0,41,45000,5400,1845000,2066400
2026-02,Central,Warehouse,RC-CE-WAR,50,1,0,51,29000,3480,1479000,1656480
2026-02,Central,Admin,RC-CE-ADM,24,1,0,25,56000,6720,1400000,1568000
2026-02,Central,Field_Marketing,RC-CE-FIE,19,1,0,20,38000,4560,760000,851200
2026-02,Central,Customer_Support,RC-CE-CUS,18,1,0,19,32000,3840,608000,680960
2026-03,North,Sales,RC-NO-SAL,57,1,0,58,45000,5400,2610000,2923200
2026-03,North,Warehouse,RC-NO-WAR,67,1,0,68,29000,3480,1972000,2208640
2026-03,North,Admin,RC-NO-ADM,33,1,0,34,56000,6720,1904000,2132480
2026-03,North,Field_Marketing,RC-NO-FIE,27,1,0,28,38000,4560,1064000,1191680
2026-03,North,Customer_Support,RC-NO-CUS,23,1,0,24,32000,3840,768000,860160
2026-03,South,Sales,RC-SO-SAL,82,2,0,84,45000,5400,3780000,4233600
2026-03,South,Warehouse,RC-SO-WAR,81,1,0,82,29000,3480,2378000,2663360
2026-03,South,Admin,RC-SO-ADM,39,1,0,40,56000,6720,2240000,2508800
2026-03,South,Field_Marketing,RC-SO-FIE,33,1,0,34,38000,4560,1292000,1447040
2026-03,South,Customer_Support,RC-SO-CUS,29,1,0,30,32000,3840,960000,1075200
2026-03,East,Sales,RC-EA-SAL,47,1,0,48,45000,5400,2160000,2419200
2026-03,East,Warehouse,RC-EA-WAR,57,1,0,58,29000,3480,1682000,1883840
2026-03,East,Admin,RC-EA-ADM,27,1,0,28,56000,6720,1568000,1756160
2026-03,East,Field_Marketing,RC-EA-FIE,23,1,0,24,38000,4560,912000,1021440
2026-03,East,Customer_Support,RC-EA-CUS,21,1,0,22,32000,3840,704000,788480
2026-03,West,Sales,RC-WE-SAL,54,1,0,55,45000,5400,2475000,2772000
2026-03,West,Warehouse,RC-WE-WAR,63,1,0,64,29000,3480,1856000,2078720
2026-03,West,Admin,RC-WE-ADM,31,1,0,32,56000,6720,1792000,2007040
2026-03,West,Field_Marketing,RC-WE-FIE,26,1,0,27,38000,4560,1026000,1149120
2026-03,West,Customer_Support,RC-WE-CUS,24,1,0,25,32000,3840,800000,896000
2026-03,Central,Sales,RC-CE-SAL,41,1,0,42,45000,5400,1890000,2116800
2026-03,Central,Warehouse,RC-CE-WAR,51,1,0,52,29000,3480,1508000,1688960
2026-03,Central,Admin,RC-CE-ADM,25,1,0,26,56000,6720,1456000,1630720
2026-03,Central,Field_Marketing,RC-CE-FIE,20,1,0,21,38000,4560,798000,893760
2026-03,Central,Customer_Support,RC-CE-CUS,19,1,0,20,32000,3840,640000,716800
