Date,Country,US_Region,State,State_Code,City,Latitude,Longitude,Channel,Customer_Segment,Product_Category,Brand,Product_SKU,Pack_Size,Distributor_ID,Sales_Rep_ID,Promotion_Applied,Revenue,Net_Revenue,Units_Sold,Order_Count,Target,COGS,Gross_Margin,Discount_Amount,Returns_Units,Marketing_Spend,Freight_Cost,Unit_Price
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Personal Care,FreshWave,PC-FW-SHAMPOO,SHAMPOO,US-D-0001,US-REP-07DD1D,No,133739,131064,2090,104,128389,57508,76231,2675,21,6419,2140,63.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Personal Care,SilkTouch,PC-ST-LOTION,LOTION,US-D-0001,US-REP-07DD1D,No,121804,119368,1740,87,116932,52376,69428,2436,17,5847,1949,70.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Personal Care,CleanPro,PC-CP-WASH,WASH,US-D-0001,US-REP-07DD1D,No,109549,107358,1441,72,105167,47106,62443,2191,14,5258,1753,76.02
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Beverages,AquaFresh,BEV-AF-1L,1L,US-D-0001,US-REP-9D1EDB,No,268077,264056,5155,257,257354,104550,163527,4021,52,12868,4289,52.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Beverages,SipWell,BEV-SW-500ML,500ML,US-D-0001,US-REP-9D1EDB,No,245403,241722,4231,211,235587,95707,149696,3681,42,11779,3926,58.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Beverages,ChillUp,BEV-CU-2L,2L,US-D-0001,US-REP-9D1EDB,No,238819,235237,3732,186,229266,93139,145680,3582,37,11463,3821,63.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Beverages,FizzRoot,BEV-FR-750ML,750ML,US-D-0001,US-REP-9D1EDB,No,217506,214243,3107,155,208806,84827,132679,3263,31,10440,3480,70.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Beverages,PureMist,BEV-PM-1L,1L,US-D-0001,US-REP-9D1EDB,No,195623,192689,2574,128,187798,76293,119330,2934,26,9390,3130,76.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Snacks,CrunchyBite,SNK-CB-200G,200G,US-D-0001,US-REP-9D1EDB,No,178718,176037,3437,171,171569,62551,116167,2681,34,8578,2859,52.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Snacks,MasalaMix,SNK-MM-150G,150G,US-D-0001,US-REP-9D1EDB,No,163602,161148,2821,141,157058,57261,106341,2454,28,7853,2618,57.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Snacks,NutPop,SNK-NP-100G,100G,US-D-0001,US-REP-9D1EDB,No,159213,156825,2488,124,152844,55725,103488,2388,25,7642,2547,63.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Snacks,SpiceRack,SNK-SR-250G,250G,US-D-0001,US-REP-9D1EDB,No,145004,142829,2071,103,139204,50751,94253,2175,21,6960,2320,70.02
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Snacks,ChipsAhoy,SNK-CA-180G,180G,US-D-0001,US-REP-9D1EDB,No,130415,128459,1716,85,125198,45645,84770,1956,17,6260,2087,76.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Personal Care,GlowCare,PC-GC-SOAP,SOAP,US-D-0001,US-REP-9D1EDB,No,134039,132028,2578,128,128677,57637,76402,2011,26,6434,2145,51.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Personal Care,PureShield,PC-PS-SAN,SAN,US-D-0001,US-REP-9D1EDB,No,122702,120861,2116,105,117794,52762,69940,1841,21,5890,1963,57.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Personal Care,FreshWave,PC-FW-SHAMPOO,SHAMPOO,US-D-0001,US-REP-9D1EDB,No,119410,117619,1866,93,114634,51346,68064,1791,19,5732,1911,63.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Personal Care,SilkTouch,PC-ST-LOTION,LOTION,US-D-0001,US-REP-9D1EDB,No,108753,107122,1554,77,104403,46764,61989,1631,16,5220,1740,69.98
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,General Trade,Mass,Personal Care,CleanPro,PC-CP-WASH,WASH,US-D-0001,US-REP-9D1EDB,No,97811,96344,1287,64,93899,42059,55752,1467,13,4695,1565,76.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Beverages,AquaFresh,BEV-AF-1L,1L,US-D-0001,US-REP-CADC33,No,298423,286486,5739,286,286486,116385,182038,11937,57,14324,4775,52.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Beverages,SipWell,BEV-SW-500ML,500ML,US-D-0001,US-REP-CADC33,No,273183,262256,4710,235,262256,106541,166642,10927,47,13113,4371,58.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Beverages,ChillUp,BEV-CU-2L,2L,US-D-0001,US-REP-CADC33,No,265854,255220,4154,207,255220,103683,162171,10634,42,12761,4254,64.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Beverages,FizzRoot,BEV-FR-750ML,750ML,US-D-0001,US-REP-CADC33,No,242128,232443,3459,172,232443,94430,147698,9685,35,11622,3874,70.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Beverages,PureMist,BEV-PM-1L,1L,US-D-0001,US-REP-CADC33,No,217767,209056,2865,143,209056,84929,132838,8711,29,10453,3484,76.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Snacks,CrunchyBite,SNK-CB-200G,200G,US-D-0001,US-REP-CADC33,No,198949,190991,3826,191,190991,69632,129317,7958,38,9550,3183,52.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Snacks,MasalaMix,SNK-MM-150G,150G,US-D-0001,US-REP-CADC33,No,182122,174837,3140,157,174837,63743,118379,7285,31,8742,2914,58.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Snacks,NutPop,SNK-NP-100G,100G,US-D-0001,US-REP-CADC33,No,177236,170147,2769,138,170147,62033,115203,7089,28,8507,2836,64.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Snacks,SpiceRack,SNK-SR-250G,250G,US-D-0001,US-REP-CADC33,No,161419,154962,2306,115,154962,56497,104922,6457,23,7748,2583,70.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Snacks,ChipsAhoy,SNK-CA-180G,180G,US-D-0001,US-REP-CADC33,No,145178,139371,1910,95,139371,50812,94366,5807,19,6969,2323,76.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Personal Care,GlowCare,PC-GC-SOAP,SOAP,US-D-0001,US-REP-CADC33,No,149212,143244,2869,143,143244,64161,85051,5968,29,7162,2387,52.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Personal Care,PureShield,PC-PS-SAN,SAN,US-D-0001,US-REP-CADC33,No,136592,131128,2355,117,131128,58735,77857,5464,24,6556,2185,58.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Personal Care,FreshWave,PC-FW-SHAMPOO,SHAMPOO,US-D-0001,US-REP-CADC33,No,132927,127610,2077,103,127610,57159,75768,5317,21,6380,2127,64.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Personal Care,SilkTouch,PC-ST-LOTION,LOTION,US-D-0001,US-REP-CADC33,No,121064,116221,1729,86,116221,52058,69006,4843,17,5811,1937,70.02
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,E-Commerce,Premium,Personal Care,CleanPro,PC-CP-WASH,WASH,US-D-0001,US-REP-CADC33,No,108883,104528,1433,71,104528,46820,62063,4355,14,5226,1742,75.98
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Beverages,AquaFresh,BEV-AF-1L,1L,US-D-0001,US-REP-E73525,No,284162,277058,5465,273,272796,110823,173339,7104,55,13640,4547,52.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Beverages,SipWell,BEV-SW-500ML,500ML,US-D-0001,US-REP-E73525,No,260128,253625,4485,224,249723,101450,158678,6503,45,12486,4162,58.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Beverages,ChillUp,BEV-CU-2L,2L,US-D-0001,US-REP-E73525,No,253148,246819,3955,197,243022,98728,154420,6329,40,12151,4050,64.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Beverages,FizzRoot,BEV-FR-750ML,750ML,US-D-0001,US-REP-E73525,No,230557,224793,3294,164,221335,89917,140640,5764,33,11067,3689,69.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Beverages,PureMist,BEV-PM-1L,1L,US-D-0001,US-REP-E73525,No,207360,202176,2728,136,199066,80870,126490,5184,27,9953,3318,76.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Snacks,CrunchyBite,SNK-CB-200G,200G,US-D-0001,US-REP-E73525,No,189441,184705,3643,182,181863,66304,123137,4736,36,9093,3031,52.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Snacks,MasalaMix,SNK-MM-150G,150G,US-D-0001,US-REP-E73525,No,173418,169083,2990,149,166481,60696,112722,4335,30,8324,2775,58.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Snacks,NutPop,SNK-NP-100G,100G,US-D-0001,US-REP-E73525,No,168766,164547,2637,131,162015,59068,109698,4219,26,8101,2700,64.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Snacks,SpiceRack,SNK-SR-250G,250G,US-D-0001,US-REP-E73525,No,153704,149861,2196,109,147556,53796,99908,3843,22,7378,2459,69.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Snacks,ChipsAhoy,SNK-CA-180G,180G,US-D-0001,US-REP-E73525,No,138240,134784,1819,90,132710,48384,89856,3456,18,6636,2212,76.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Personal Care,GlowCare,PC-GC-SOAP,SOAP,US-D-0001,US-REP-E73525,No,142081,138529,2732,136,136398,61095,80986,3552,27,6820,2273,52.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Personal Care,PureShield,PC-PS-SAN,SAN,US-D-0001,US-REP-E73525,No,130064,126812,2242,112,124861,55928,74136,3252,22,6243,2081,58.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Personal Care,FreshWave,PC-FW-SHAMPOO,SHAMPOO,US-D-0001,US-REP-E73525,No,126574,123410,1978,98,121511,54427,72147,3164,20,6076,2025,63.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Personal Care,SilkTouch,PC-ST-LOTION,LOTION,US-D-0001,US-REP-E73525,No,115278,112396,1647,82,110667,49570,65708,2882,16,5533,1844,69.99
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Club Store,Value,Personal Care,CleanPro,PC-CP-WASH,WASH,US-D-0001,US-REP-E73525,No,103680,101088,1364,68,99533,44582,59098,2592,14,4977,1659,76.01
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Beverages,AquaFresh,BEV-AF-1L,1L,US-D-0002,US-REP-E1DCBF,No,226502,221972,4356,217,217442,88336,138166,4530,44,10872,3624,52.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Beverages,SipWell,BEV-SW-500ML,500ML,US-D-0002,US-REP-E1DCBF,No,207344,203197,3575,178,199050,80864,126480,4147,36,9953,3318,58.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Beverages,ChillUp,BEV-CU-2L,2L,US-D-0002,US-REP-E1DCBF,No,201781,197745,3153,157,193710,78695,123086,4036,32,9685,3228,64.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Beverages,FizzRoot,BEV-FR-750ML,750ML,US-D-0002,US-REP-E1DCBF,No,183774,180099,2625,131,176423,71672,112102,3675,26,8821,2940,70.01
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Beverages,PureMist,BEV-PM-1L,1L,US-D-0002,US-REP-E1DCBF,No,165284,161978,2175,108,158673,64461,100823,3306,22,7934,2645,75.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Snacks,CrunchyBite,SNK-CB-200G,200G,US-D-0002,US-REP-E1DCBF,No,151001,147981,2904,145,144961,52850,98151,3020,29,7248,2416,52.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Snacks,MasalaMix,SNK-MM-150G,150G,US-D-0002,US-REP-E1DCBF,No,138230,135465,2383,119,132701,48380,89850,2765,24,6635,2212,58.01
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Snacks,NutPop,SNK-NP-100G,100G,US-D-0002,US-REP-E1DCBF,No,134521,131831,2102,105,129140,47082,87439,2690,21,6457,2152,64.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Snacks,SpiceRack,SNK-SR-250G,250G,US-D-0002,US-REP-E1DCBF,No,122516,120066,1750,87,117615,42881,79635,2450,18,5881,1960,70.01
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Snacks,ChipsAhoy,SNK-CA-180G,180G,US-D-0002,US-REP-E1DCBF,No,110189,107985,1450,72,105781,38566,71623,2204,14,5289,1763,75.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Personal Care,GlowCare,PC-GC-SOAP,SOAP,US-D-0002,US-REP-E1DCBF,No,113251,110986,2178,108,108721,48698,64553,2265,22,5436,1812,52.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Personal Care,PureShield,PC-PS-SAN,SAN,US-D-0002,US-REP-E1DCBF,No,103672,101599,1787,89,99525,44579,59093,2073,18,4976,1659,58.01
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Personal Care,FreshWave,PC-FW-SHAMPOO,SHAMPOO,US-D-0002,US-REP-E1DCBF,No,100891,98873,1576,78,96855,43383,57508,2018,16,4843,1614,64.02
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Personal Care,SilkTouch,PC-ST-LOTION,LOTION,US-D-0002,US-REP-E1DCBF,No,91887,90049,1313,65,88212,39511,52376,1838,13,4411,1470,69.98
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Modern Trade,Premium,Personal Care,CleanPro,PC-CP-WASH,WASH,US-D-0002,US-REP-E1DCBF,No,82642,80989,1087,54,79336,35536,47106,1653,11,3967,1322,76.03
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Beverages,AquaFresh,BEV-AF-1L,1L,US-D-0002,US-REP-5F856A,No,202234,199200,3889,194,194145,78871,123363,3034,39,9707,3236,52.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Beverages,SipWell,BEV-SW-500ML,500ML,US-D-0002,US-REP-5F856A,No,185129,182352,3192,159,177724,72200,112929,2777,32,8886,2962,58.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Beverages,ChillUp,BEV-CU-2L,2L,US-D-0002,US-REP-5F856A,No,180162,177460,2815,140,172956,70263,109899,2702,28,8648,2883,64.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Beverages,FizzRoot,BEV-FR-750ML,750ML,US-D-0002,US-REP-5F856A,No,164084,161623,2344,117,157521,63993,100091,2461,23,7876,2625,70.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Beverages,PureMist,BEV-PM-1L,1L,US-D-0002,US-REP-5F856A,No,147575,145361,1942,97,141672,57554,90021,2214,19,7084,2361,75.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Snacks,CrunchyBite,SNK-CB-200G,200G,US-D-0002,US-REP-5F856A,No,134822,132800,2593,129,129429,47188,87634,2022,26,6471,2157,51.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Snacks,MasalaMix,SNK-MM-150G,150G,US-D-0002,US-REP-5F856A,No,123419,121568,2128,106,118482,43197,80222,1851,21,5924,1975,58.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Snacks,NutPop,SNK-NP-100G,100G,US-D-0002,US-REP-5F856A,No,120108,118306,1877,93,115304,42038,78070,1802,19,5765,1922,63.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Snacks,SpiceRack,SNK-SR-250G,250G,US-D-0002,US-REP-5F856A,No,109389,107748,1563,78,105013,38286,71103,1641,16,5251,1750,69.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Snacks,ChipsAhoy,SNK-CA-180G,180G,US-D-0002,US-REP-5F856A,No,98383,96907,1295,64,94448,34434,63949,1476,13,4722,1574,75.97
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Personal Care,GlowCare,PC-GC-SOAP,SOAP,US-D-0002,US-REP-5F856A,No,101117,99600,1945,97,97072,43480,57637,1517,19,4854,1618,51.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Personal Care,PureShield,PC-PS-SAN,SAN,US-D-0002,US-REP-5F856A,No,92564,91176,1596,79,88861,39803,52761,1388,16,4443,1481,58.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Personal Care,FreshWave,PC-FW-SHAMPOO,SHAMPOO,US-D-0002,US-REP-5F856A,No,90081,88730,1408,70,86478,38735,51346,1351,14,4324,1441,63.98
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Personal Care,SilkTouch,PC-ST-LOTION,LOTION,US-D-0002,US-REP-5F856A,No,82042,80811,1172,58,78760,35278,46764,1231,12,3938,1313,70.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,General Trade,Mass,Personal Care,CleanPro,PC-CP-WASH,WASH,US-D-0002,US-REP-5F856A,No,73787,72680,971,48,70836,31728,42059,1107,10,3542,1181,75.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Beverages,AquaFresh,BEV-AF-1L,1L,US-D-0002,US-REP-612067,No,225126,216121,4329,216,216121,87799,137327,9005,43,10806,3602,52.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Beverages,SipWell,BEV-SW-500ML,500ML,US-D-0002,US-REP-612067,No,206086,197843,3553,177,197843,80374,125712,8243,36,9892,3297,58.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Beverages,ChillUp,BEV-CU-2L,2L,US-D-0002,US-REP-612067,No,200556,192534,3134,156,192534,78217,122339,8022,31,9627,3209,63.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Beverages,FizzRoot,BEV-FR-750ML,750ML,US-D-0002,US-REP-612067,No,182658,175352,2609,130,175352,71237,111421,7306,26,8768,2923,70.01
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Beverages,PureMist,BEV-PM-1L,1L,US-D-0002,US-REP-612067,No,164280,157709,2162,108,157709,64069,100211,6571,22,7885,2628,75.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Snacks,CrunchyBite,SNK-CB-200G,200G,US-D-0002,US-REP-612067,No,150084,144081,2886,144,144081,52529,97555,6003,29,7204,2401,52.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Snacks,MasalaMix,SNK-MM-150G,150G,US-D-0002,US-REP-612067,No,137390,131894,2369,118,131894,48086,89304,5496,24,6595,2198,57.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Snacks,NutPop,SNK-NP-100G,100G,US-D-0002,US-REP-612067,No,133704,128356,2089,104,128356,46796,86908,5348,21,6418,2139,64.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Snacks,SpiceRack,SNK-SR-250G,250G,US-D-0002,US-REP-612067,No,121772,116901,1740,87,116901,42620,79152,4871,17,5845,1948,69.98
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Snacks,ChipsAhoy,SNK-CA-180G,180G,US-D-0002,US-REP-612067,No,109520,105139,1441,72,105139,38332,71188,4381,14,5257,1752,76.0
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Personal Care,GlowCare,PC-GC-SOAP,SOAP,US-D-0002,US-REP-612067,No,112563,108060,2165,108,108060,48402,64161,4503,22,5403,1801,51.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Personal Care,PureShield,PC-PS-SAN,SAN,US-D-0002,US-REP-612067,No,103043,98921,1777,88,98921,44308,58735,4122,18,4946,1649,57.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Personal Care,FreshWave,PC-FW-SHAMPOO,SHAMPOO,US-D-0002,US-REP-612067,No,100278,96267,1567,78,96267,43120,57158,4011,16,4813,1604,63.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Personal Care,SilkTouch,PC-ST-LOTION,LOTION,US-D-0002,US-REP-612067,No,91329,87676,1305,65,87676,39271,52058,3653,13,4384,1461,69.98
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,E-Commerce,Premium,Personal Care,CleanPro,PC-CP-WASH,WASH,US-D-0002,US-REP-612067,No,82140,78854,1081,54,78854,35320,46820,3286,11,3943,1314,75.99
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Club Store,Value,Beverages,AquaFresh,BEV-AF-1L,1L,US-D-0002,US-REP-6D05DB,No,214368,209009,4122,206,205793,83604,130764,5359,41,10290,3430,52.01
2025-01-01,United States,Northeast,New York,NY,Buffalo,42.8864,-78.8784,Club Store,Value,Beverages,SipWell,BEV-SW-500ML,500ML,US-D-0002,US-REP-6D05DB,No,196237,191331,3383,169,188388,76532,119705,4906,34,9419,3140,58.01
